"oid","name","code","price","sale-price","orderable","ship-weight","taxable"
"kichwedrbmo1","Kitty Chen Wedding Dress - <br> Montana","KCH2057","1474.00 ",,"Yes",,"Yes"
"kichwedrbmo2","Kitty Chen Wedding Dress - <br> Morgan","KCH2051","1721.00 ",,"Yes",,"Yes"
"kichwedrbno","Kitty Chen Wedding Dress - <br> Noemi","KCNOEMI","1683.00 ",,"Yes",,"Yes"
"kichwedrbol","Kitty Chen Wedding Dress - <br> Olivia","newitem537139927","1969.00 ",,"Yes",,"Yes"
"kichwedrbpa","Kitty Chen Wedding Dress - <br> Paisley","newitem537140517","1384.00 ",,"Yes",,"Yes"
"kichwedrbpa1","Kitty Chen Wedding Dress - <br> Patty","newitem537143078","2014.00 ",,"Yes",,"Yes"
"kichwedrbph","Kitty Chen Wedding Dress - <br>  Philomena","KCPHILOMENA","1595.00 ",,"Yes",,"Yes"
"kichwedrbsa","Kitty Chen Wedding Dress - <br> Sadie","KCSADIE","1727.00 ",,"Yes",,"Yes"
"kichwedrbta","Kitty Chen Wedding Dress - <br> Tania","KCH2052","1744.00 ",,"Yes",,"Yes"
"kichwedrbta1","Kitty Chen Wedding Dress - <br> Tara","KCH2042","1856.00 ",,"Yes",,"Yes"
"kichwedrbta2","Kitty Chen Wedding Dress - <br> Tamara","KCTAMARA","1903.00 ",,"Yes",,"Yes"
"kichwedrbti","Kitty Chen Wedding Dress - <br> Tiffani","KCH2029","1789.00 ",,"Yes",,"Yes"
"kichwedrbtr","Kitty Chen Wedding Dress - <br> Trina","KCH2056","1451.00 ",,"Yes",,"Yes"
"kichwedrbtr1","Kitty Chen Wedding Dress - <br> Trenna","KCTRENNA","1749.00 ",,"Yes",,"Yes"
"kichwedrbvi","Kitty Chen Wedding Dress - <br>  Vida","KCVIDA","1309.00 ",,"Yes",,"Yes"
"kichwedrbvi1","Kitty Chen Wedding Dress - <br> Vivenne","newitem537143340","1924.00 ",,"Yes",,"Yes"
"kichwedrbyv","Kitty Chen Wedding Dress - <br> Yvette","KC2050","1654.00 ",,"Yes",,"Yes"
"kichwedrbze","Kitty Chen Wedding Dress - <br> Zendaya","KCZENDAYA","1969.00 ",,"Yes",,"Yes"
"kichwedrda","Kitty Chen Wedding Dress ","KCH1725","1727.00 ",,"Yes",,"Yes"
"kichwedrel","Kitty Chen Wedding Dress ","KCH1769","1485.00 ",,"Yes",,"Yes"
"kichwedrge","Kitty Chen Wedding Dress ","KCH1854","1969.00 ",,"Yes",,"Yes"
"kichwedrje1","Kitty Chen Wedding Dress ","KCH1889","1749.00 ",,"Yes",,"Yes"
"kichwedrke","Kitty Chen Wedding Dress ","KCH1880","1727.00 ",,"Yes",,"Yes"
"kichwedrky","Kitty Chen Wedding Dress ","KCH1847","2189.00 ",,"Yes",,"Yes"
"kichwedrma4","Kitty Chen Wedding Dress ","KCH1887","1771.00 ",,"Yes",,"Yes"
"kichwedrmy","Kitty Chen Wedding Dress ","KCH1851","1859.00 ",,"Yes",,"Yes"
"kichwedrna1","Kitty Chen Wedding Dress ","KCH1860","1749.00 ",,"Yes",,"Yes"
"kichwedrseda1","Kitty Chen Wedding Dress Separate ","K1849T","1419.00 ",,"Yes",,"Yes"
"kichwedrseje","Kitty Chen Wedding Dress Separate ","H1849S","550.00 ",,"Yes",,"Yes"
"kichwedrsl","Kitty Chen Wedding Dress ","KCH1717","1727.00 ",,"Yes",,"Yes"
"kichwedrta1","Kitty Chen Wedding Dress ","KCH1846","1947.00 ",,"Yes",,"Yes"
"kittychenveils","Kitty Chen Veils","NULL",,,"No",,"Yes"
"libyprweco","Lirreta by Pollardi <br>Wedding Collection","NULL",,,"No",,"Yes"
"liwecob","Liretta Wedding  Collection - <br>Cassiopea","LICASSIOPEA","1095.00 ",,"Yes",,"Yes"
"liwecob1","Liretta Wedding  Collection - <br>Zephyer","LIZEPHYER","1440.00 ",,"Yes",,"Yes"
"liwecob2","Liretta Wedding  Collection - <br>Scallop","LISCALLOP","1020.00 ",,"Yes",,"Yes"
"liwecob3","Liretta Wedding  Collection - <br>Undine","LIUNDINE","975.00 ",,"Yes",,"Yes"
"liwecob4","Liretta Wedding  Collection - <br>MARAGATURRA","LIMARAGATURRA","1245.00 ",,"Yes",,"Yes"
"liwecob5","Liretta Wedding  Collection - <br>Sidamo","LISIDAMO","1020.00 ",,"Yes",,"Yes"
"liwecob6","Liretta Wedding  Collection - <br>Arabica","LIARABICA","1320.00 ",,"Yes",,"Yes"
